"price","brand","mileage"
33500,"dodge",8605
900,"dodge",139404
21000,"dodge",10170
26800,"dodge",22272
5700,"dodge",101906
18500,"dodge",27019
33000,"dodge",10930
11000,"dodge",73552
15800,"dodge",37107
3600,"dodge",124247
16300,"dodge",36993
2700,"dodge",67133
12800,"dodge",33580
9700,"dodge",94140
18300,"dodge",10447
16000,"dodge",10229
21000,"dodge",6269
3700,"dodge",98699
33000,"dodge",10631
14700,"dodge",44381
33000,"dodge",13960
15900,"dodge",14051
33000,"dodge",20800
33000,"dodge",8873
32500,"dodge",15502
33000,"dodge",9669
13000,"dodge",50873
33000,"dodge",14117
16500,"dodge",46820
33000,"dodge",7247
34500,"dodge",40991
33500,"dodge",9023
48000,"dodge",8047
54500,"dodge",3966
13200,"dodge",41014
31500,"dodge",20907
17400,"dodge",89795
26000,"dodge",57158
1700,"dodge",126718
11000,"dodge",83976
21000,"dodge",12554
5500,"dodge",60707
7500,"dodge",40110
15800,"dodge",28038
16900,"dodge",26643
25000,"dodge",36127
18000,"dodge",19983
15600,"dodge",29926
23800,"dodge",36750
16800,"dodge",27312
22700,"dodge",49575
23300,"dodge",30279
23500,"dodge",25825
25500,"dodge",32474
21800,"dodge",30585
22800,"dodge",36203
18200,"dodge",29602
23500,"dodge",28689
25700,"dodge",31447
15700,"dodge",39148
17500,"dodge",33495
15700,"dodge",35274
16500,"dodge",48745
16100,"dodge",31297
15600,"dodge",38745
15400,"dodge",37704
28200,"dodge",27060
15300,"dodge",40002
15900,"dodge",34930
17700,"dodge",22863
15800,"dodge",36876
15900,"dodge",34264
25300,"dodge",17515
16300,"dodge",27071
29500,"dodge",14656
14500,"dodge",35652
15400,"dodge",30055
15400,"dodge",43088
15100,"dodge",33641
15000,"dodge",34797
15500,"dodge",43943
15000,"dodge",35744
15200,"dodge",31542
15700,"dodge",26899
16100,"dodge",29985
16300,"dodge",37009
16000,"dodge",30731
16900,"dodge",30062
17000,"dodge",28295
17300,"dodge",25534
15900,"dodge",29716
15700,"dodge",34294
16900,"dodge",27643
15500,"dodge",35516
15100,"dodge",40674
15500,"dodge",32494
15400,"dodge",35047
16500,"dodge",32898
42500,"dodge",13740
16600,"dodge",23132
15200,"dodge",37174
15800,"dodge",34023
16900,"dodge",30021
11100,"dodge",51469
15600,"dodge",31237
16900,"dodge",30186
15300,"dodge",41956
16600,"dodge",30727
21800,"dodge",38956
36500,"dodge",22036
26300,"dodge",26462
20900,"dodge",23143
20100,"dodge",17340
26700,"dodge",29749
23900,"dodge",35248
14500,"dodge",40417
23000,"dodge",30309
15000,"dodge",42303
15000,"dodge",35326
28500,"ford",92100
28000,"ford",99375
9000,"ford",72418
28700,"ford",29733
25000,"ford",119439
17347,"ford",54396
13800,"ford",91606
25888,"ford",2807
8500,"ford",78739
21289,"ford",71955
17999,"ford",48472
2700,"ford",98470
30977,"ford",28937
13799,"ford",83693
20500,"ford",90888
8500,"ford",216942
9900,"ford",205796
65500,"ford",6500
24500,"ford",39943
32500,"ford",5920
9200,"ford",71478
17700,"ford",119520
18300,"ford",10882
43500,"ford",29010
15200,"ford",69003
36200,"ford",16207
21900,"ford",29748
20700,"ford",25582
12300,"ford",24520
4200,"ford",104383
19500,"ford",34164
14300,"ford",6975
13700,"ford",67150
13200,"ford",100820
6200,"ford",142286
6500,"ford",60015
1500,"ford",126381
2200,"ford",128753
4200,"ford",0
8700,"ford",64598
3200,"ford",111532
9000,"ford",149346
20000,"ford",43567
